traversal,profile,method,n_runs,ape_raw_rmse_mean,ape_raw_rmse_std,ape_align_rmse_mean,ape_align_rmse_std,row_correct_fraction_mean,row_correct_fraction_std,failure_rate_mean,failure_rate_std,wrong_row_duration_sec_mean,wrong_row_duration_sec_std,cross_track_mean_mean,cross_track_mean_std,speed_mean_mean,speed_mean_std,accel_rms_mean,accel_rms_std
rh1,outage_20s,AMCL+NoisyGNSS,3,2.029566697943848,0.02679543777208014,1.604987186570612,1.3636180761385836e-05,0.6159600997506235,0.0,0.38403990024937656,0.0,165.0721755027771,0.0,1.3542729314294804,6.485274740642422e-06,0.6395193006088866,3.5643393190918244e-07,0.37375363963402436,2.3475044005150707e-09
rh1,outage_20s,NoisyGNSS,3,1.4697097585174477,0.2655412185447289,1.4437173479290661,0.2724275594078511,0.7064297800338409,0.028135853042835706,0.29357021996615906,0.028135853042835692,469.3333333333333,49.45929864264375,1.4554133622459968,0.09782772268590786,0.33718336068124116,0.021329462529982683,0.07748006093756098,0.016339384356448414
rh1,outage_20s,RTAB RGB+NoisyGNSS,3,39.4762085360599,0.044776722202311985,6.412016156396611,1.628782061462162e-05,0.376657824933687,0.0,0.623342175066313,0.0,259.529723405838,0.0,5.350225842464186,1.335185785006365e-05,0.606831597149997,6.943829498247742e-06,0.03543082852672694,2.4634351410846333e-06
rh1,outage_20s,RTAB RGBD+NoisyGNSS,3,39.44098448335884,0.04470095963274202,6.4544523729369,1.5454756129341144e-05,0.3763157894736842,0.0,0.6236842105263158,0.0,259.9646246433258,0.0,5.374261932480819,1.2824281154754635e-05,0.6049353988362258,7.087075886786861e-06,0.03606998197783178,1.1482628161676888e-05
rh1,outage_20s,SLPF,3,0.9326300845656911,0.06834551669201216,0.8779629094656604,0.06795487813490653,0.720969089390142,0.034868231837442296,0.27903091060985796,0.03486823183744228,445.3333333333333,55.649698012557884,1.3326888825271201,0.08516667231984877,0.16833662152482617,0.001197314963622053,0.031954986882195176,6.305875211350715e-05
rh1,outage_5s,AMCL+NoisyGNSS,3,2.029566697943848,0.02679543777208014,1.604987186570612,1.3636180761385836e-05,0.6159600997506235,0.0,0.38403990024937656,0.0,165.0721755027771,0.0,1.3542729314294804,6.485274740642422e-06,0.6395193006088866,3.5643393190918244e-07,0.37375363963402436,2.3475044005150707e-09
rh1,outage_5s,NoisyGNSS,3,1.4654370915001522,0.2629930559567218,1.4393484484100896,0.2698859009571478,0.7060301507537688,0.02842640326378077,0.2939698492462312,0.028426403263780823,468.0,45.254833995939045,1.4617946763431842,0.09849512270381043,0.33696920562618077,0.021013800156797505,0.07746251098523098,0.01611499556829036
rh1,outage_5s,RTAB RGB+NoisyGNSS,3,39.4762085360599,0.044776722202311985,6.412016156396611,1.628782061462162e-05,0.376657824933687,0.0,0.623342175066313,0.0,259.529723405838,0.0,5.350225842464186,1.335185785006365e-05,0.606831597149997,6.943829498247742e-06,0.03543082852672694,2.4634351410846333e-06
rh1,outage_5s,RTAB RGBD+NoisyGNSS,3,39.44098448335884,0.04470095963274202,6.4544523729369,1.5454756129341144e-05,0.3763157894736842,0.0,0.6236842105263158,0.0,259.9646246433258,0.0,5.374261932480819,1.2824281154754635e-05,0.6049353988362258,7.087075886786861e-06,0.03606998197783178,1.1482628161676888e-05
rh1,outage_5s,SLPF,3,0.8904707688447114,0.0993694825341158,0.847018021195896,0.09039742768957149,0.7368421052631579,0.03920256710660008,0.2631578947368421,0.03920256710660005,420.0,62.567297102133686,1.3403088028730428,0.08408643911998376,0.16967491111907226,0.0027787047175792893,0.0321825502728934,0.0004964041050895606
rh2,drift_bias,AMCL+NoisyGNSS,3,3.228957070737932,0.9093777274513328,2.033277789780725,0.18296334389542773,0.5355908552558238,0.04879449743583278,0.4644091447441761,0.048794497435832807,209.86652620633444,20.241855464422578,1.6290470343589982,0.12659273131045415,0.627771782758626,0.005862314786576181,0.5128720144543936,0.1943629217902967
rh2,drift_bias,NoisyGNSS,3,4.4380967842016865,0.5292355996466298,4.094489162362056,0.4702367719114157,0.3850720949957591,0.03313320608078815,0.6149279050042409,0.033133206080788145,966.6666666666666,52.08539995899896,3.2166953606193776,0.4102698940663559,0.3665083501975572,0.00876906714276867,0.0683827871807418,0.0029124007321661726
rh2,drift_bias,RTAB RGB+NoisyGNSS,3,40.023635962719915,1.1542613486643731,8.058702933335958,0.427097778701712,0.39657222461804204,0.018652002237087864,0.603427775381958,0.018652002237087826,263.20026659965515,2.933841298008415,6.3163235466552266,0.30110565773772474,0.5910897099865609,0.011057448242739297,0.03222607533716874,0.0003046980220683398
rh2,drift_bias,RTAB RGBD+NoisyGNSS,3,58.58902955657538,24.043068555653573,8.899959037968214,0.44400361321951587,0.41673188339855005,0.002421187730539783,0.5832681166014498,0.0024211877305397567,259.7888126373291,1.039459284235533,6.741480372203558,0.07875377404654901,0.6508192158594986,0.09776648270172884,1.0491547980254843,1.3559098581487048
rh2,drift_bias,SLPF,3,3.634659707586785,0.34651136771581037,3.224669772182304,0.3550981017627294,0.3596268023748939,0.07674004774396963,0.640373197625106,0.07674004774396963,1005.3333333333334,118.76400502209788,2.813362706605726,0.28051691652657407,0.18364919927806714,0.0026149216027612555,0.03066242454287356,0.0006560216794594565
rh2,gaussian_high,AMCL+NoisyGNSS,3,3.2309499260621557,0.8362695004159857,2.0332703130790484,0.18292795834713782,0.5355908552558238,0.04879449743583278,0.4644091447441761,0.048794497435832807,209.86652620633444,20.241855464422578,1.629057081801806,0.12655503352045586,0.6277875490970234,0.0058440878624062545,0.5128722064985403,0.19436370317020393
rh2,gaussian_high,NoisyGNSS,3,3.1965657037682327,0.1049529196331442,3.165122633847552,0.12300534241130791,0.5063613231552163,0.02996356528016232,0.49363867684478374,0.029963565280162342,776.0,47.10272462041518,2.3764807366946687,0.09791894332752672,0.9065180927232431,0.010705272404894621,0.15376142102125354,0.00637048227472297
rh2,gaussian_high,RTAB RGB+NoisyGNSS,3,40.042045067896375,1.0880016082849515,8.058709333566432,0.4270789793140503,0.39657222461804204,0.018652002237087864,0.603427775381958,0.018652002237087826,263.20026659965515,2.933841298008415,6.316321943110066,0.3010933866206343,0.591106303752779,0.011079407042758106,0.03224237587094595,0.0003253873873617219
rh2,gaussian_high,RTAB RGBD+NoisyGNSS,3,58.638933090669866,24.193359023521264,8.9001510605653,0.444298034440028,0.41673188339855005,0.002421187730539783,0.5832681166014498,0.0024211877305397567,259.7888126373291,1.039459284235533,6.741494272205261,0.07879851219555692,0.650831173639569,0.09780763940788928,1.0493324275738138,1.356407226561667
rh2,gaussian_high,SLPF,3,1.689952827546172,0.14448655173032157,1.488898829953593,0.20039761929464606,0.6064461407972859,0.05273720629926992,0.3935538592027142,0.05273720629926994,618.6666666666666,82.90288830245234,1.6433275980239834,0.09517646365949196,0.17857275487570834,0.001534348079569792,0.030311367247208617,0.0004085413365237372
rh2,headland_only_degradation,AMCL+NoisyGNSS,3,3.2204598662716735,0.8616999943717211,2.033268927381847,0.18294128374742796,0.5355908552558238,0.04879449743583278,0.4644091447441761,0.048794497435832807,209.86652620633444,20.241855464422578,1.6290499089706916,0.12656735770613797,0.6277761455160703,0.00584567359926375,0.5128710751761171,0.1943642643854784
rh2,headland_only_degradation,NoisyGNSS,3,2.4775626139609392,0.17500633180130107,2.413134603156324,0.15028047502662367,0.7930449533502969,0.06455062795738911,0.20695504664970313,0.06455062795738913,325.3333333333333,101.47358714901573,1.8565468160420295,0.1252986860028693,0.4308703958656157,0.01706817680367834,0.10973774882989394,0.009502217889929757
rh2,headland_only_degradation,RTAB RGB+NoisyGNSS,3,40.030954172953166,1.1251661027329845,8.058705078267911,0.4270878896400108,0.39657222461804204,0.018652002237087864,0.603427775381958,0.018652002237087826,263.20026659965515,2.933841298008415,6.31632224818616,0.3011020360967004,0.5910958271324425,0.01107615526224751,0.03223181807667543,0.00032164956600674974
rh2,headland_only_degradation,RTAB RGBD+NoisyGNSS,3,58.61686268890694,24.13829455099109,8.90007703266804,0.4441866896092565,0.41673188339855005,0.002421187730539783,0.5832681166014498,0.0024211877305397567,259.7888126373291,1.039459284235533,6.7414884499409,0.07878180786078126,0.6508236932541225,0.09779425526150512,1.0492730895372848,1.3562126946997983
rh2,headland_only_degradation,SLPF,3,1.4627233313255437,0.11407479607533731,1.361323973214126,0.1217807088585392,0.6624257845631891,0.03747365909139017,0.3375742154368109,0.037473659091390214,528.0,57.22470329033316,1.4606649218562149,0.05859033344377662,0.17160179107012485,0.00048617654524659137,0.031113233970475065,0.00021537472484218668
