%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1756813666643951000,1020,1756813666643951000,map,5.48585179978,-8.28783930784,0.0,0.0,0.0,-0.833165623892,0.553023546664,0.0705346446837,-0.0232971553058,0.0,0.0,0.0,0.0,-0.0232971553058,0.113141863976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243013757909
1756813668311131000,1021,1756813668311131000,map,5.86464494534,-7.18759658793,0.0,0.0,0.0,-0.86287829182,0.505411766292,0.152464110965,-0.0357382920871,0.0,0.0,0.0,0.0,-0.0357382920871,0.130891426807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0678607245821
1756813669377138000,1022,1756813669377138000,map,6.18632586028,-6.82167243404,0.0,0.0,0.0,-0.840877981079,0.541224741616,0.255789629506,-0.0771480646085,0.0,0.0,0.0,0.0,-0.0771480646085,0.15491810595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082457537094
1756813670777568000,1023,1756813670777568000,map,6.3114293082,-5.96630382108,0.0,0.0,0.0,-0.792801892331,0.609479416812,0.50984931977,-0.176147066177,0.0,0.0,0.0,0.0,-0.176147066177,0.208161040179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103174623486
1756813671777080000,1024,1756813671777080000,map,5.88603434412,-4.76366790728,0.0,0.0,0.0,-0.702629468589,0.711555921815,0.553384887264,-0.20073841442,0.0,0.0,0.0,0.0,-0.20073841442,0.234356000242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0855649208978
1756813673044269000,1025,1756813673044269000,map,5.71854166563,-3.90562346851,0.0,0.0,0.0,-0.663389197352,0.748274530394,0.582587441442,-0.223170308078,0.0,0.0,0.0,0.0,-0.223170308078,0.248255795815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0622564544301
1756813673977696000,1026,1756813673977696000,map,5.65317217962,-3.32244114408,0.0,0.0,0.0,-0.655483882099,0.755209163284,0.243058412608,-0.105826954451,0.0,0.0,0.0,0.0,-0.105826954451,0.19872566274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02319883828
1756813675243730000,1027,1756813675243730000,map,5.60544672492,-2.7503849261,0.0,0.0,0.0,-0.651596059629,0.758566130984,0.0945848810725,-0.0507579955902,0.0,0.0,0.0,0.0,-0.0507579955902,0.179933287886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00982256670164
1756813676177616000,1028,1756813676177616000,map,5.50484392372,-2.1251298689,0.0,0.0,0.0,-0.639078740771,0.769141315426,0.0458759410475,-0.0355452050541,0.0,0.0,0.0,0.0,-0.0355452050541,0.17393397529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00504257048604
1756813677111143000,1029,1756813677111143000,map,5.40462506475,-1.46524796512,0.0,0.0,0.0,-0.632232862345,0.774778424952,0.0167938591059,-0.0261644302389,0.0,0.0,0.0,0.0,-0.0261644302389,0.175014158145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00333773271155
1756813678310593000,1030,1756813678310593000,map,5.2403031421,-0.489567218639,0.0,0.0,0.0,-0.629362681213,0.777111713653,0.0199884769915,-0.0268951434533,0.0,0.0,0.0,0.0,-0.0268951434533,0.180272762426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00491431209352
1756813679177158000,1031,1756813679177158000,map,5.11878168188,0.0539923830395,0.0,0.0,0.0,-0.619960530923,0.784632997074,0.0228928471296,-0.0270544812873,0.0,0.0,0.0,0.0,-0.0270544812873,0.181892903923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00410133789066
1756813680044465000,1032,1756813680044465000,map,5.03843720474,0.616682991088,0.0,0.0,0.0,-0.638250404364,0.769828825993,0.0104539063416,-0.0218142469212,0.0,0.0,0.0,0.0,-0.0218142469212,0.172923574287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00269227337963
1756813680843676000,1033,1756813680843676000,map,4.96771352609,1.13578319342,0.0,0.0,0.0,-0.641129465216,0.767432738963,0.0121648542482,-0.0231566195033,0.0,0.0,0.0,0.0,-0.0231566195033,0.175581845042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00214476510891
