run_name,est_tum,gt_tum,ape_raw_rmse,ape_align_rmse,rpe_2m_align_rmse,rpe_5m_align_rmse,rpe_10m_align_rmse,cross_track_mean,cross_track_median,cross_track_max,row_correct_fraction,row_switch_events,speed_mean,accel_rms,jerk_rms,heading_rate_rms,heading_accel_rms,method,seed,runtime_sec
ngps_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/ngps/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/ngps/seed_22/gps_pose.tum,3.072534226228402,3.0216533312888565,3.323292967778408,3.5917631136354577,3.558205126675152,1.625345231419208,1.4751606269348698,5.8260922543949265,0.6090225563909775,72.0,0.4812309038480807,0.0949738972718328,0.04038154234665295,0.5253665215663724,0.18056868828767422,ngps,22,0.1446058750152588
ngps_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/ngps/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/ngps/seed_33/gps_pose.tum,3.172263375020562,3.1074125166453253,3.9747700052910986,4.5930538110348325,4.817772064526688,1.9075735240792198,1.6700751769197024,16.23766382210901,0.7042606516290727,61.0,0.5377754245230569,0.1152048790689896,0.04547986638640457,0.5267327971766166,0.17978053298630442,ngps,33,0.18932271003723145
amcl_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_11/gps_pose.tum,1.9617348073402303,1.3002828158830904,4.755173217057186,5.5174434903395335,1.5986632873593132,1.2904598662050975,0.8420255905681723,4.299306784729417,0.6234413965087282,28.0,0.6628967068674754,0.5206691064656065,0.9973934248680403,0.4270297807844375,0.5514145123713292,amcl,11,0.0
amcl_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_22/gps_pose.tum,1.9617348073402303,1.3002828158830904,4.755173217057186,5.5174434903395335,1.5986632873593132,1.2904598662050975,0.8420255905681723,4.299306784729417,0.6234413965087282,28.0,0.6628967068674754,0.5206691064656065,0.9973934248680403,0.4270297807844375,0.5514145123713292,amcl,22,0.0
amcl_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/amcl/seed_33/gps_pose.tum,1.9617348073402303,1.3002828158830904,4.755173217057186,5.5174434903395335,1.5986632873593132,1.2904598662050975,0.8420255905681723,4.299306784729417,0.6234413965087282,28.0,0.6628967068674754,0.5206691064656065,0.9973934248680403,0.4270297807844375,0.5514145123713292,amcl,33,0.0
rtab_rgbd_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_11/gps_pose.tum,63.96629817407574,6.81010318316702,4.058284966733027,8.2547778219374,4.808407076715303,5.834357972859172,5.513290797647063,19.034396244103515,0.3684210526315789,14.0,0.6244832300696566,0.04020057798749961,0.04796636144052843,0.26692471955883484,0.21765644039460852,rtab_rgbd,11,0.0
rtab_rgbd_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_22/gps_pose.tum,63.96629817407574,6.81010318316702,4.058284966733027,8.2547778219374,4.808407076715303,5.834357972859172,5.513290797647063,19.034396244103515,0.3684210526315789,14.0,0.6244832300696566,0.04020057798749961,0.04796636144052843,0.26692471955883484,0.21765644039460852,rtab_rgbd,22,0.0
rtab_rgbd_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgbd/seed_33/gps_pose.tum,63.96629817407574,6.81010318316702,4.058284966733027,8.2547778219374,4.808407076715303,5.834357972859172,5.513290797647063,19.034396244103515,0.3684210526315789,14.0,0.6244832300696566,0.04020057798749961,0.04796636144052843,0.26692471955883484,0.21765644039460852,rtab_rgbd,33,0.0
rtab_rgb_seed_11,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_11/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_11/gps_pose.tum,63.059592963932886,6.761443559619296,1.1955097084696604,2.352360680217733,4.569660372165993,5.807971149379011,5.560235627816765,19.09631332898004,0.3660477453580902,15.0,0.6265505214340161,0.03977222185003132,0.04720850519302743,0.26541095377697455,0.21679612720382224,rtab_rgb,11,0.0
rtab_rgb_seed_22,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_22/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_22/gps_pose.tum,63.059592963932886,6.761443559619296,1.1955097084696604,2.352360680217733,4.569660372165993,5.807971149379011,5.560235627816765,19.09631332898004,0.3660477453580902,15.0,0.6265505214340161,0.03977222185003132,0.04720850519302743,0.26541095377697455,0.21679612720382224,rtab_rgb,22,0.0
rtab_rgb_seed_33,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_33/trajectory_0.5.tum,/home/pulver/projects/Outdoor_SLPF/results/iros/20260217_172656_multiseed_main/rtab_rgb/seed_33/gps_pose.tum,63.059592963932886,6.761443559619296,1.1955097084696604,2.352360680217733,4.569660372165993,5.807971149379011,5.560235627816765,19.09631332898004,0.3660477453580902,15.0,0.6265505214340161,0.03977222185003132,0.04720850519302743,0.26541095377697455,0.21679612720382224,rtab_rgb,33,0.0
