frame_idx,gps_dist,log_gps,log_semantic,log_corridor,corridor_dist,corridor_heading_misalign,correct_hits,incorrect_hits,no_hits,weight,gps_weight_used,corridor_weight_used,num_background_used,num_observations,semantic_model_used,semantic_classes_mode,gps_enabled,semantic_enabled,corridor_enabled,background_enabled,dynamic_gps_enabled,pose_smoothing_enabled,detection_drop_rate,detections_raw,detections_kept,detections_dropped
48,2.9352118968963623,-3.5601110458374023,-334.2631530761719,-0.20482909679412842,0.9600681662559509,4.941225051879883e-05,69,0,61,0.028642386198043823,0.5357142857142857,0.3,120,130,wall,both,1,1,1,1,1,1,0.0,3,3,0
52,3.6058220863342285,-5.372707366943359,-493.49200439453125,-0.22711163759231567,1.0109248161315918,0.0013480782508850098,76,8,52,0.03651057928800583,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1,0.0,4,4,0
56,4.939060688018799,-10.080296516418457,-363.6473388671875,-0.2265675663948059,1.0097289085388184,0.0002910494804382324,66,0,73,0.028656339272856712,0.5190311418685121,0.3,120,139,wall,both,1,1,1,1,1,1,0.0,3,3,0
60,2.017630100250244,-1.682161569595337,-457.8549499511719,-0.13598211109638214,0.7763338685035706,0.02241116762161255,87,0,49,0.039035964757204056,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1,0.0,5,5,0
64,5.409852981567383,-12.093598365783691,-402.2086486816406,-0.1827441304922104,0.9051763415336609,0.012789428234100342,100,4,35,0.042535942047834396,0.5190311418685121,0.3,120,139,wall,both,1,1,1,1,1,1,0.0,4,4,0
68,2.62705135345459,-2.8518173694610596,-577.3519287109375,-0.03622549772262573,0.4022219181060791,0.008190810680389404,92,15,28,0.036090392619371414,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1,0.0,7,7,0
72,2.9067206382751465,-3.491332530975342,-373.2203674316406,-0.20714996755123138,0.9590135812759399,0.026053786277770996,97,2,33,0.03237712010741234,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1,0.0,4,4,0
76,1.9437438249588013,-1.561214804649353,-352.5365295410156,-0.09437330067157745,0.6251557469367981,0.042935967445373535,102,4,29,0.04847823455929756,0.5263157894736842,0.3,120,135,wall,both,1,1,1,1,1,1,0.0,5,5,0
80,4.009742736816406,-6.6438164710998535,-373.90203857421875,-0.20868895947933197,0.9533014297485352,0.040627241134643555,94,4,34,0.059101346880197525,0.5319148936170213,0.3,120,132,wall,both,1,1,1,1,1,1,0.0,5,5,0
84,2.263193130493164,-2.116546630859375,-375.2322998046875,-0.3575953543186188,1.261678695678711,0.030731022357940674,96,1,39,0.03842451795935631,0.5244755244755245,0.3,120,136,wall,both,1,1,1,1,1,1,0.0,5,5,0
88,2.7173049449920654,-3.0511345863342285,-250.49273681640625,-0.1850462108850479,0.912420392036438,0.0032753348350524902,89,0,38,0.07588160037994385,0.5415162454873647,0.3,120,127,wall,both,1,1,1,1,1,1,0.0,6,6,0
92,2.0808768272399902,-1.789276123046875,-240.80435180664062,-0.28307050466537476,1.1286333799362183,0.0004652738571166992,86,0,40,0.05135802552103996,0.5434782608695653,0.3,120,126,wall,both,1,1,1,1,1,1,0.0,7,7,0
96,1.3525168895721436,-0.7559098601341248,-291.519775390625,-0.27933594584465027,0.8690457344055176,0.16528356075286865,111,0,27,0.04965367168188095,0.5208333333333334,0.3,120,138,wall,both,1,1,1,1,1,1,0.0,7,7,0
