index,rgb_image,depth_image,lidar_csv,latitude,longitude,odom_pos_x,odom_pos_y,odom_pos_z,odom_orient_x,odom_orient_y,odom_orient_z,odom_orient_w,master_topic
1258,rgb/rgb_01258.png,depth/depth_01258.png,lidar/lidar_01258.csv,53.26799743524861,-0.5245490458771673,69.82663430486616,64.28263195976753,0.0,0.0,0.0,-0.5588967303253232,0.8292372669095758,/gps/filtered
1259,rgb/rgb_01259.png,depth/depth_01259.png,lidar/lidar_01259.csv,53.26800798400768,-0.5245533351554377,69.44670225488325,65.31696672697169,0.0,0.0,0.0,-0.5771809943584987,0.8166162499922069,/gps/filtered
1260,rgb/rgb_01260.png,depth/depth_01260.png,lidar/lidar_01260.csv,53.26800922583937,-0.52455385759469,69.40395105590355,65.4393480328296,0.0,0.0,0.0,-0.5777427004050046,0.8162189486459703,/gps/filtered
1261,rgb/rgb_01261.png,depth/depth_01261.png,lidar/lidar_01261.csv,53.26801249924319,-0.5245546944987769,69.274433135563,65.80946811872914,0.0,0.0,0.0,-0.578504163008263,0.8156794305253192,/gps/filtered
1262,rgb/rgb_01262.png,depth/depth_01262.png,lidar/lidar_01262.csv,53.26801636212311,-0.5245559215720732,69.12644886001742,66.23955872139705,0.0,0.0,0.0,-0.5799552269403786,0.8146483503601625,/gps/filtered
1263,rgb/rgb_01263.png,depth/depth_01263.png,lidar/lidar_01263.csv,53.26801739345656,-0.524556394751631,69.08437546072147,66.36278379783015,0.0,0.0,0.0,-0.5803265928053403,0.8143838441932311,/gps/filtered
1264,rgb/rgb_01264.png,depth/depth_01264.png,lidar/lidar_01264.csv,53.26801899826343,-0.5245560591046559,68.99960024199417,66.61020582074632,0.0,0.0,0.0,-0.5860539595518444,0.8102720262316879,/gps/filtered
1265,rgb/rgb_01265.png,depth/depth_01265.png,lidar/lidar_01265.csv,53.2680195179138,-0.5245562247563171,68.97908252254756,66.67278414364155,0.0,0.0,0.0,-0.5894449147649548,0.8078085741422502,/gps/filtered
1266,rgb/rgb_01266.png,depth/depth_01266.png,lidar/lidar_01266.csv,53.26802010897503,-0.5245565437210611,68.95915790525869,66.73507182003219,0.0,0.0,0.0,-0.5911279238348379,0.8065778187271915,/gps/filtered
1267,rgb/rgb_01267.png,depth/depth_01267.png,lidar/lidar_01267.csv,53.2680230514722,-0.5245574881239081,68.86066406197834,67.04547803176463,0.0,0.0,0.0,-0.592854494751033,0.8053095976414892,/gps/filtered
